label,message
ham,Hey are we meeting today?
spam,Congratulations you have won $1000 claim now
ham,Please send the report by evening
spam,Win money now click this link
ham,Let's have lunch tomorrow
spam,You are selected for free prize claim urgently
ham,Call me when you arrive
spam,Limited offer buy now
ham,Project meeting starts at 10am
spam,You won a lottery claim prize
spam,You won a lottery claim prize
spam,You won a lottery claim prize
spam,You won a lottery claim prize
spam,You won a lottery claim prize
spam,You won a lottery claim prize